,Наименование сырья/материала,Производитель,Номер серии,Срок годности,Номера протоколов анализов,Серия препарата,Дата
2,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220401,2024-04-01 00:00:00,СТ-00798,S16301081223,2023-12-08
3,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301081223,2023-12-08
4,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384, СТ-06385, СТ-06386, СТ-06387",S16301081223,2023-12-08
5,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301081223,2023-12-08
6,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301081223,2023-12-08
7,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301081223,2023-12-08
8,Стерильный шприц NORM-JECT,ABX,20G06C8,2025-07-01 00:00:00,–,S16301081223,2023-12-08
9,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301081223,2023-12-08
10,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301081223,2023-12-08
11,Картридж QMA,ABX,013632305A,2028-01-01 00:00:00,–,S16301081223,2023-12-08
12,Картридж SCX,ABX,M220629M02,2027-07-31 00:00:00,–,S16301081223,2023-12-08
13,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301081223,2023-12-08
14,Натрия хлорид,BBraun,31621022,2025-09-01 00:00:00,"65, 66, CТ-03123",S16301081223,2023-12-08
15,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301081223,2023-12-08
16,"Вода, обогащенная кислородом-18",ЦМИ,2304M008,2025-04-01 00:00:00,–,S16301081223,2023-12-08
17,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S16301081223,2023-12-08
0,Дозирующий набор Clio,Comecer,FD00527,2027-03-01 00:00:00,CT-09224,S23301050124,2024-01-05
1,Капиллярный удлинитель Clio,Comecer,FС00113,2025-12-01 00:00:00,СТ-10629,S23301050124,2024-01-05
2,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220401,2024-04-01 00:00:00,СТ-00798,S23301050124,2024-01-05
3,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S23301050124,2024-01-05
4,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384, СТ-06385, СТ-06386, СТ-06387",S23301050124,2024-01-05
5,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S23301050124,2024-01-05
6,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S23301050124,2024-01-05
7,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S23301050124,2024-01-05
8,Стерильный шприц NORM-JECT,ABX,20G06C8,2025-07-01 00:00:00,–,S23301050124,2024-01-05
9,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S23301050124,2024-01-05
10,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S23301050124,2024-01-05
11,Картридж QMA,ABX,013632305A,2028-01-01 00:00:00,–,S23301050124,2024-01-05
12,Картридж SCX,ABX,M220629M02,2027-07-31 00:00:00,–,S23301050124,2024-01-05
13,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S23301050124,2024-01-05
14,Натрия хлорид,BBraun,31621022,2025-09-01 00:00:00,"65, 66, CТ-03123",S23301050124,2024-01-05
15,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S23301050124,2024-01-05
16,"Вода, обогащенная кислородом-18",ЦМИ,2304M008,2025-04-01 00:00:00,–,S23301050124,2024-01-05
17,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S23301050124,2024-01-05
0,Дозирующий набор Clio,Comecer,FD00527,2027-03-01 00:00:00,CT-09224,S23301050125,2025-01-05
1,Капиллярный удлинитель Clio,Comecer,FС00113,2025-12-01 00:00:00,СТ-10629,S23301050125,2025-01-05
2,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220401,2024-04-01 00:00:00,СТ-00798,S23301050125,2025-01-05
3,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S23301050125,2025-01-05
4,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384, СТ-06385, СТ-06386, СТ-06387",S23301050125,2025-01-05
5,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S23301050125,2025-01-05
6,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S23301050125,2025-01-05
7,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S23301050125,2025-01-05
8,Стерильный шприц NORM-JECT,ABX,20G06C8,2025-07-01 00:00:00,–,S23301050125,2025-01-05
9,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S23301050125,2025-01-05
10,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S23301050125,2025-01-05
11,Картридж QMA,ABX,013632305A,2028-01-01 00:00:00,–,S23301050125,2025-01-05
12,Картридж SCX,ABX,M220629M02,2027-07-31 00:00:00,–,S23301050125,2025-01-05
13,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S23301050125,2025-01-05
14,Натрия хлорид,BBraun,31621022,2025-09-01 00:00:00,"65, 66, CТ-03123",S23301050125,2025-01-05
15,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S23301050125,2025-01-05
16,"Вода, обогащенная кислородом-18",ЦМИ,2304M008,2025-04-01 00:00:00,–,S23301050125,2025-01-05
17,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S23301050125,2025-01-05
0,Дозирующий набор Clio,Comecer,FD00918,2027-10-01 00:00:00,CT-02618,S16301020424,2024-04-02
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-04-01 00:00:00,СТ-09195,S16301020424,2024-04-02
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301020424,2024-04-02
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301020424,2024-04-02
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301020424,2024-04-02
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301020424,2024-04-02
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301020424,2024-04-02
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301020424,2024-04-02
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301020424,2024-04-02
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301020424,2024-04-02
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301020424,2024-04-02
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301020424,2024-04-02
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301020424,2024-04-02
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301020424,2024-04-02
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301020424,2024-04-02
15,"Вода, обогащенная кислородом-18",ЦМИ,2304M004,2025-04-01 00:00:00,–,S16301020424,2024-04-02
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S16301020424,2024-04-02
0,Дозирующий набор Clio,Comecer,FD00918,2027-10-01 00:00:00,CT-02618,S16301030424,2024-04-03
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-04-01 00:00:00,СТ-09195,S16301030424,2024-04-03
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301030424,2024-04-03
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301030424,2024-04-03
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301030424,2024-04-03
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301030424,2024-04-03
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301030424,2024-04-03
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301030424,2024-04-03
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301030424,2024-04-03
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301030424,2024-04-03
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301030424,2024-04-03
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301030424,2024-04-03
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301030424,2024-04-03
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301030424,2024-04-03
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301030424,2024-04-03
15,"Вода, обогащенная кислородом-18",ЦМИ,2304M004,2025-04-01 00:00:00,–,S16301030424,2024-04-03
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S16301030424,2024-04-03
0,Дозирующий набор Clio,Comecer,FD00918,2027-10-01 00:00:00,CT-02618,S16301040424,2024-04-04
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-04-01 00:00:00,СТ-09195,S16301040424,2024-04-04
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301040424,2024-04-04
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301040424,2024-04-04
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301040424,2024-04-04
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301040424,2024-04-04
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301040424,2024-04-04
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301040424,2024-04-04
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301040424,2024-04-04
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301040424,2024-04-04
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301040424,2024-04-04
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301040424,2024-04-04
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301040424,2024-04-04
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301040424,2024-04-04
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301040424,2024-04-04
15,"Вода, обогащенная кислородом-18",ЦМИ,2304M004,2025-04-01 00:00:00,–,S16301040424,2024-04-04
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S16301040424,2024-04-04
0,Дозирующий набор Clio,Comecer,FD00918,2027-10-01 00:00:00,CT-02618,S16301060424,2024-04-06
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-04-01 00:00:00,СТ-09195,S16301060424,2024-04-06
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301060424,2024-04-06
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301060424,2024-04-06
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301060424,2024-04-06
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301060424,2024-04-06
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301060424,2024-04-06
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301060424,2024-04-06
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301060424,2024-04-06
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301060424,2024-04-06
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301060424,2024-04-06
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301060424,2024-04-06
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301060424,2024-04-06
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301060424,2024-04-06
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301060424,2024-04-06
15,"Вода, обогащенная кислородом-18",ЦМИ,2304M004,2025-04-01 00:00:00,–,S16301060424,2024-04-06
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S16301060424,2024-04-06
0,Дозирующий набор Clio,Comecer,FD00918,2027-10-01 00:00:00,CT-02618,S16301100424,2024-04-10
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-04-01 00:00:00,СТ-09195,S16301100424,2024-04-10
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301100424,2024-04-10
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301100424,2024-04-10
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301100424,2024-04-10
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301100424,2024-04-10
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301100424,2024-04-10
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301100424,2024-04-10
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301100424,2024-04-10
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301100424,2024-04-10
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301100424,2024-04-10
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301100424,2024-04-10
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301100424,2024-04-10
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301100424,2024-04-10
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301100424,2024-04-10
15,"Вода, обогащенная кислородом-18",ЦМИ,2306M011,2025-06-01 00:00:00,–,S16301100424,2024-04-10
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S16301100424,2024-04-10
0,Дозирующий набор Clio,Comecer,FD00918,2027-10-01 00:00:00,CT-02618,S16301110424,2024-04-11
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-04-01 00:00:00,СТ-09195,S16301110424,2024-04-11
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301110424,2024-04-11
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301110424,2024-04-11
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301110424,2024-04-11
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301110424,2024-04-11
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301110424,2024-04-11
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301110424,2024-04-11
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301110424,2024-04-11
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301110424,2024-04-11
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301110424,2024-04-11
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301110424,2024-04-11
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301110424,2024-04-11
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301110424,2024-04-11
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301110424,2024-04-11
15,"Вода, обогащенная кислородом-18",ЦМИ,2306M011,2025-06-01 00:00:00,–,S16301110424,2024-04-11
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S16301110424,2024-04-11
0,Дозирующий набор Clio,Comecer,FD00918,2027-10-01 00:00:00,CT-02618,S16301120424,2024-04-12
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-04-01 00:00:00,СТ-09195,S16301120424,2024-04-12
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301120424,2024-04-12
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301120424,2024-04-12
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301120424,2024-04-12
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301120424,2024-04-12
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301120424,2024-04-12
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301120424,2024-04-12
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301120424,2024-04-12
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301120424,2024-04-12
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301120424,2024-04-12
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301120424,2024-04-12
